hgnc_symbol	affy_hg_u95b
MT-TF	
MT-RNR1	
MT-TV	
MT-RNR2	
MT-TL1	
MT-ND1	
MT-TI	
MT-TQ	
MT-TM	
MT-ND2	
MT-TW	
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	
MT-TS1	
MT-TD	
MT-CO2	
MT-TK	
MT-ATP8	
MT-ATP6	
MT-CO3	
MT-TG	
MT-ND3	
MT-TR	
MT-ND4L	
MT-ND4	
MT-TH	
MT-TS2	
MT-TL2	
MT-ND5	
MT-ND6	
MT-TE	
MT-CYB	
MT-TT	
MT-TP	
	
KIR2DL3	
KIR2DL1	
KIR3DP1	
LILRP1	
	49072_at
KIR3DL2	
LILRP2	
KIR2DS4	
INTS3	
PCMTD2	
KIR2DS5	
LINC02109	
KIR2DS3	
KIR2DL4	
KIR2DP1	
NCR1	
KIR2DL2	
KIR3DL3	
KIR3DL1	
FCAR	
OPRL1	
NPBWR2	
KIR2DS2	
MYT1	
KIR2DL5B	
KIR3DS1	
KIR2DL5A	
KIR2DS1	
SBNO2	
PTCHD3	
DNAH10	
ODAD2P1	
FAM210CP	
TRIAP1P1	
SNTG2	
OR9G4	
OR5G3	
OR9G3P	
OR5G1P	
OR5G4P	
OR5G5P	
OR9G2P	
OR9G1	
GEMIN2P1	
OR9G9	
GATAD2B	46443_at
LINC02735	
CCDC92	
CCDC92	45726_at
KRT18P40	
ZNF430	
RNA5-8SN5	
ZNF85	
ZNF85	44484_at
SLC27A3	56906_at
SLC27A3	
BNIP3P24	
ZNF66	
PIWIL1	
KRTAP9-2	
KRTAP9-10P	
KRTAP9-4	42033_at
KRTAP9-6	
KRTAP9-7	
KRTAP29-1	
KRTAP9-12P	
KRTAP9-11P	
KRTAP9-9	
	51358_at
PPIAL4F	
DHX36	
DHX36	46701_at
IMPDH1P5	
RNVU1-26	
RNVU1-2A	
DLG5	
ARHGEF26	58281_r_at
ARHGEF26	57673_at
LINC01839	
LINC02054	
RNU6-222P	
FTCD	
ADI1	57203_at
TRAPPC12	
KRTAP9-3	
	57089_at
ARHGEF26-AS1	
FTCD-AS1	
LSS	
TPO	
LINC01659	
SUDS3P1	
ZDHHC8P1	
PROP1	
LINC00254	42241_at
HS3ST6	
MEIOB	
MEIOB	42241_at
CES5AP1	
LINC02124	
KRT20	
KCNQ2-AS1	
FAM230I	
KCNQ2	
ERICH1	
KRTAP3-1	
KRTAP3-2	
ZNF965P	
GXYLT1P1	
KRTAP4-9	
CYP4F34P	
LINC02557	
CNN2P12	
SNX18P26	
LINC00328-2P	
ANKRD20A9P	
KRTAP2-4	
RNU6-55P	
KRT23	
ABCB11	
SPATC1L	
G6PC2	
SLC45A2	
SLC45A2	44501_at
RXFP3	
ADAMTS12	
ABCB10P1	
GOLGA8DP	
SPC25	
LINC02549	
APOBEC3B-AS1	
APOBEC3A	
GARRE1	
DLG5-AS1	
TUBGCP5	
RN7SL284P	
RNU6-1266P	
SEPTIN9-DT	
SEPTIN9	
LSM14A	
KRT40	
GOLGA6L1	
CRIM1	
ELMO2P1	
RPL21P36	
CRIM1-DT	53285_s_at
NOSTRIN	
NOSTRIN	56167_at
MPHOSPH10P5	
KRTAP1-1	
KRTAP4-11	
KRTAP2-5P	
CYFIP1	
KRTAP1-3	
KRTAP4-16	
KRT12	
DLGAP2-AS1	
DLGAP2	
KRTAP1-5	
KRT39	
ANKRD18DP	
CNTNAP2	
CNTNAP2	47467_r_at
CNTNAP2	47466_i_at
RPS17	
GOLGA6L22	
SLC25A51P1	
ADH5P4	
AADACL2	49872_at
KRTAP3-4P	
GOLGA8EP	
KRTAP2-1	
SKA1	
METRNL	
KRTAP3-3	
LINC02066	
KRTAP2-3	
AADACL2-AS1	
RNU6-821P	
ZNF43	
KRTAP4-12	
KRTAP1-4	
HERC2P2	
PAXBP1	
ZNF100	
C21orf62	
FRG1-DT	
FRG1-DT	57432_at
CCNYL6	
HERC2P7	
SPATA31E3P	
GOLGA8IP	
C21orf62-AS1	
RNU1-51P	
DNM1P38	
KCNIP4	
BRI3BPP1	
VN1R84P	
MTDHP4	
MAPK4	
CPEB1	
TBCD	
RNA5SP458	
LRRC56	42925_at
MPHOSPH10P9	
CTDP1-DT	
	46651_at
RPS6P22	
LRIG3-DT	
MAFIP	
SMN2	
TUBGCP5	42788_at
CTDP1	
DECR2	54623_at
DECR2	
MREGP1	
AP2A2	
SNTB2	
RPL4P5	
PHRF1	
UTP4	
UTP4	53874_at
SINHCAF	
MAD2L1-DT	
GART	50801_at
GART	
ABR	58660_s_at
ABR	
MEGF11	
RPS5P3	
DNAJC28	
DNAJC28	42792_r_at
DNAJC28	42791_i_at
UGT2A3	
B3GNTL1	
B3GNTL1	42436_at
IFNGR2	
MUC6	
UGT2B27P	
